customer_id,name,plan_type,is_premium,tenure_months,avg_monthly_arpu_inr,complaints_last_90d,offers_availed_last_180d,data_usage_gb_trend,last_recharge_days_ago,bill_payment_delays_count,network_issue_tickets,call_drop_rate_pct,last_outage_days_ago,app_logins_last_30d,loyalty_points_balance,family_plan_members,port_out_request_flag
C0107,Baghyawati Kade,prepaid,True,40,573.62,5,1,rising,56.0,,0,1.2,51,32,8843,3,False
C0108,Samar Lalla,prepaid,False,113,1950.82,0,0,falling,23.0,,2,12.1,84,46,7170,0,False
C0109,Zayan Behl,postpaid,False,57,1584.9,3,0,rising,,1.0,5,11.8,99,23,9345,6,False
C0110,Pallavi Malhotra,prepaid,False,68,1133.85,0,2,falling,33.0,,0,7.2,190,35,1680,2,False
C0111,Aarush Nath,postpaid,False,98,526.73,1,3,rising,,0.0,4,12.3,178,59,436,0,False
C0112,Adweta Edwin,prepaid,False,11,1031.04,5,3,flat,8.0,,2,2.1,146,58,7740,1,True
C0113,Prisha Andra,postpaid,False,79,162.34,0,3,flat,,0.0,2,7.9,56,49,4720,0,False
C0114,Faqid Dixit,prepaid,False,80,1224.22,4,2,rising,22.0,,1,3.6,73,18,7032,0,False
C0115,Kala Divan,prepaid,False,86,1720.31,0,5,flat,24.0,,2,7.6,10,24,7702,0,False
C0116,Joshua Barman,postpaid,False,3,989.17,0,2,rising,,3.0,1,11.4,68,2,5772,0,False
C0117,Janya Baral,prepaid,False,60,2454.93,0,0,flat,20.0,,4,0.6,103,2,3268,4,False
C0118,Shivansh Krish,postpaid,False,105,1426.12,3,0,flat,,1.0,2,13.0,169,17,2039,2,False
C0119,Irya Ray,prepaid,False,50,946.74,2,1,falling,52.0,,0,1.2,217,5,7055,1,False
C0120,Warjas Gaba,prepaid,False,14,338.16,0,2,flat,27.0,,1,5.3,21,46,5776,1,False
C0121,Nitara Bakshi,prepaid,False,8,326.35,0,3,flat,4.0,,4,2.1,311,43,7179,0,False
C0122,Gaurangi Sabharwal,prepaid,False,47,1049.71,2,2,falling,20.0,,0,11.4,293,8,8674,0,False
C0123,Amara Dutta,postpaid,False,15,210.9,1,4,rising,,6.0,2,10.6,109,39,4678,1,False
C0124,Lavanya Barad,prepaid,True,10,1212.3,1,0,flat,18.0,,3,4.8,177,45,1063,0,False
C0125,Tristan Iyengar,postpaid,False,92,1817.47,0,1,rising,,1.0,5,11.9,121,50,8094,0,False
C0126,Inaya Mody,prepaid,False,71,454.96,0,1,flat,20.0,,0,6.2,209,52,9419,0,False
C0127,Udant Bajwa,postpaid,False,88,1365.8,3,2,flat,,1.0,2,1.9,257,58,907,3,False
C0128,Mohini Narasimhan,prepaid,False,120,1816.93,5,4,falling,39.0,,0,9.5,282,17,2050,1,False
C0129,Ekaraj Mallick,prepaid,False,22,1540.75,0,2,falling,60.0,,0,13.9,21,52,464,0,False
C0130,Yashodhara Ratta,postpaid,False,84,645.4,2,0,falling,,2.0,1,9.6,154,30,4012,3,False
C0131,Ayaan D’Alia,prepaid,True,8,521.49,1,1,rising,32.0,,3,4.8,176,25,2142,2,False
C0132,Pranav Lanka,prepaid,False,60,437.93,0,0,falling,46.0,,3,6.3,81,52,5364,4,False
C0133,Ikbal Saraf,prepaid,False,64,2490.53,4,1,rising,3.0,,0,6.9,123,13,9557,0,False
C0134,Dipta Sarin,prepaid,False,108,1687.51,1,3,flat,36.0,,3,10.9,206,23,741,0,False
C0135,Lekha Gupta,prepaid,False,37,322.8,3,0,falling,21.0,,1,1.8,49,25,6114,2,False
C0136,Chaitanya Sarin,prepaid,False,19,617.79,1,0,rising,8.0,,0,7.1,233,9,9932,4,False
C0137,Zinal Yohannan,prepaid,False,21,1073.44,3,2,flat,23.0,,1,7.3,288,19,7780,3,False
C0138,Januja Sankar,prepaid,True,54,1521.7,2,2,rising,37.0,,0,14.5,296,36,3728,2,False
C0139,Ganga Murthy,prepaid,False,93,1606.38,0,2,rising,26.0,,4,1.6,9,28,5139,0,False
C0140,Charita Tripathi,postpaid,False,100,1586.97,3,2,flat,,5.0,1,8.4,339,30,8609,0,False
C0141,Nilima Narain,prepaid,False,70,982.57,2,2,flat,60.0,,1,2.9,126,17,9143,0,False
C0142,Chakrika Datta,postpaid,False,37,1806.52,1,1,flat,,0.0,4,10.8,147,7,9395,1,False
C0143,Osha Raghavan,postpaid,False,99,2040.85,0,2,rising,,0.0,0,3.8,245,13,3310,3,False
C0144,Charvi Ravi,prepaid,False,14,1596.84,0,2,flat,49.0,,1,0.8,211,21,7739,0,False
C0145,Daksha Mangat,prepaid,False,119,521.16,4,1,flat,5.0,,2,4.3,146,41,969,4,False
C0146,Qushi Nagy,postpaid,False,95,1849.33,5,0,falling,,2.0,0,13.8,203,50,8116,0,False
C0147,Riya Sathe,postpaid,False,5,171.78,0,5,rising,,1.0,5,8.1,252,56,2198,3,False
C0148,Yasti Solanki,prepaid,True,21,1868.13,2,0,rising,32.0,,0,10.1,98,11,6643,3,False
C0149,Frado Mander,prepaid,False,13,584.24,0,0,rising,0.0,,0,11.3,168,19,9543,2,False
C0150,Girik Keer,prepaid,False,31,295.99,0,1,flat,60.0,,3,10.6,159,44,1923,1,False
C0151,Umang Issac,prepaid,False,29,2399.8,1,5,flat,43.0,,2,13.7,275,51,3578,2,False
C0152,Aryan Batra,postpaid,False,11,1384.94,0,4,rising,,0.0,3,13.5,103,36,8792,0,False
C0153,Vaishnavi Bora,prepaid,True,27,1834.76,4,1,rising,51.0,,0,6.2,288,3,9155,0,False
C0154,Oeshi Hayer,prepaid,True,33,2068.67,1,0,rising,26.0,,0,14.9,35,59,7734,0,False
C0155,Warda Ratta,prepaid,True,83,2449.08,1,5,flat,55.0,,3,13.6,192,5,8835,0,False
C0156,Manbir Ahluwalia,prepaid,False,69,1073.69,7,3,falling,14.0,,5,6.9,278,27,8715,0,False
C0157,Pavani Kanda,prepaid,False,36,592.93,3,0,flat,38.0,,1,14.0,8,15,3376,0,False
C0158,Zarna Shetty,prepaid,False,91,2199.7,0,1,flat,58.0,,2,11.6,71,32,4739,0,False
C0159,Zaid Dara,postpaid,False,77,1965.46,0,4,falling,,3.0,1,6.2,140,3,9121,5,False
C0160,Kiaan Shetty,postpaid,False,55,1456.25,0,2,flat,,2.0,1,10.4,209,9,4913,0,True
C0161,Saanvi Thaman,prepaid,False,39,2165.22,1,0,flat,41.0,,0,7.9,198,15,4177,0,False
C0162,Sanaya Dutt,prepaid,False,48,367.29,0,0,flat,35.0,,1,13.1,96,51,9626,2,False
C0163,Shivani Lad,prepaid,False,117,932.47,0,4,falling,45.0,,0,15.0,245,58,3974,1,False
C0164,Aradhana Verma,prepaid,False,71,905.8,1,2,rising,20.0,,0,13.2,238,6,7692,2,False
C0165,William Maharaj,postpaid,False,53,257.43,2,0,flat,,0.0,1,10.8,151,9,3214,0,False
C0166,Faras Mangal,postpaid,False,84,2367.14,3,1,flat,,1.0,2,6.9,180,10,2293,2,False
C0167,Anita Nayak,postpaid,False,83,2399.51,3,0,falling,,0.0,0,0.1,70,53,3791,0,False
C0168,Faris Devi,prepaid,False,8,1601.91,2,1,flat,34.0,,0,8.3,6,1,8673,2,False
C0169,Vihaan Rajagopal,postpaid,True,105,1789.97,5,0,falling,,0.0,1,3.6,317,33,4135,3,False
C0170,Tanish Bhatt,prepaid,False,52,1228.64,2,0,falling,24.0,,0,14.9,332,48,519,0,False
C0171,Nikita Narayanan,prepaid,False,82,172.21,1,1,falling,14.0,,1,12.9,48,57,8653,4,False
C0172,Ojasvi Bhatia,prepaid,False,114,1481.94,5,2,rising,13.0,,1,9.9,91,59,5152,0,False
C0173,Osha Ramachandran,prepaid,False,92,2079.12,0,2,flat,8.0,,3,10.2,276,21,6288,2,False
C0174,Lajita Sood,postpaid,False,11,1326.86,0,1,falling,,0.0,0,11.5,304,25,5347,0,False
C0175,Indira Misra,postpaid,False,46,1449.64,0,2,flat,,0.0,2,4.4,126,45,1204,0,False
C0176,Oni Yohannan,postpaid,False,95,1065.61,0,4,flat,,1.0,2,1.5,44,11,7061,0,False
C0177,Vinaya Kanda,prepaid,True,46,1452.42,3,3,rising,10.0,,0,11.7,286,57,3977,0,False
C0178,Rajata Sunder,postpaid,False,35,857.66,0,1,flat,,1.0,0,1.2,128,60,4040,2,False
C0179,Lopa Nayar,postpaid,False,18,865.95,0,2,falling,,1.0,0,5.0,333,38,2230,0,False
C0180,Noah Sibal,postpaid,False,23,2416.75,0,2,flat,,4.0,1,3.6,192,17,6437,0,False
C0181,Avi Ramesh,prepaid,False,24,1752.02,6,1,flat,8.0,,0,4.4,354,4,6703,1,False
C0182,Fiyaz Sangha,postpaid,False,85,512.24,0,1,flat,,5.0,1,8.0,354,26,8907,0,False
C0183,Triya Gopal,postpaid,False,77,1649.72,3,2,flat,,0.0,1,0.7,330,43,6547,5,False
C0184,Abha Raghavan,postpaid,True,13,758.04,1,2,flat,,6.0,0,5.9,347,37,8199,0,False
C0185,Siddharth Sha,prepaid,False,118,2410.06,5,0,rising,46.0,,0,3.1,247,22,7801,0,False
C0186,Geetika Raghavan,postpaid,False,39,255.01,0,1,rising,,0.0,2,13.9,124,33,2858,0,False
C0187,Oviya Krishnan,prepaid,False,103,1101.86,2,1,rising,13.0,,1,3.0,303,27,6370,0,False
C0188,Upma Bahl,prepaid,False,104,2020.62,3,1,flat,40.0,,0,1.7,343,55,8019,0,False
C0189,Inaya Kapur,prepaid,False,51,1529.46,3,2,falling,20.0,,2,4.5,314,37,1388,1,False
C0190,Banjeet Balasubramanian,prepaid,False,24,1027.27,0,2,flat,31.0,,0,7.3,275,44,2838,0,False
C0191,Ryan Bahri,prepaid,False,108,1209.85,0,0,rising,31.0,,2,14.5,258,41,8109,0,False
C0192,William Date,prepaid,False,63,543.05,3,0,rising,7.0,,0,4.3,234,36,8115,0,False
C0193,Ishwar Kamdar,prepaid,False,70,2084.71,3,0,flat,2.0,,1,14.8,52,47,4055,0,False
C0194,Aahana Pillay,prepaid,False,105,354.41,0,3,rising,8.0,,2,10.3,363,39,7015,0,False
C0195,Ishwar Gade,postpaid,False,104,289.49,0,1,rising,,2.0,2,4.3,136,60,8428,6,False
C0196,Hritik Bal,prepaid,False,101,1117.25,0,2,flat,43.0,,0,2.2,164,53,4055,2,False
C0197,Keya Ranganathan,prepaid,True,81,781.49,1,2,falling,31.0,,0,7.7,142,44,6046,0,False
C0198,Faqid Kibe,prepaid,True,100,2140.84,7,2,flat,31.0,,3,11.9,203,13,7039,3,False
C0199,Charvi Dara,prepaid,False,44,1436.18,4,3,falling,59.0,,2,0.7,320,50,7529,0,False
C0200,Idika Walia,postpaid,False,1,2480.82,8,4,falling,,0.0,0,13.1,140,5,5905,0,False
